Image,Classification,ROI: 0.33 µm per pixel: Hoechst: Mean,ROI: 0.33 µm per pixel: AF1: Mean,ROI: 0.33 µm per pixel: CD45: Mean,ROI: 0.33 µm per pixel: S100a: Mean,ROI: 0.33 µm per pixel: CD4: Mean,ROI: 0.33 µm per pixel: CD8a: Mean,ROI: 0.33 µm per pixel: FoxP3: Mean,ROI: 0.33 µm per pixel: PD1: Mean
LungImg1.ome.tif,CD4,5877.2539,1795.0082,1330.5792,260.8577,2518.3901,524.0955,293.437,407.4289
LungImg1.ome.tif,,1721.6606,3396.0603,783.6802,238.9755,1656.6835,296.0571,233.0261,269.031
LungImg1.ome.tif,CD4,5595.1895,1632.1855,1694.9941,257.8652,1789.832,990.3594,273.3477,319.2285
LungImg1.ome.tif,CD4: FoxP3,5192.8696,1832.2629,955.3969,221.2268,2981.5222,293.988,1166.7715,294.3729
LungImg1.ome.tif,CD4,4828.4521,2659.0098,1256.2448,263.2334,2222.2463,534.7472,273.3096,316.5284
LungImg1.ome.tif,,5202.2964,1681.3748,910.5211,218.3206,778.0782,379.4489,338.507,284.6814
LungImg1.ome.tif,CD8,5695.7788,2198.4692,1029.1005,239.8012,515.6701,1294.2971,267.6619,320.4242
LungImg1.ome.tif,CD8,3899.6423,3648.1045,1553.1619,246.7128,1393.0339,3178.1045,257.9452,370.7311
LungImg1.ome.tif,CD4,4180.4512,2203.5042,946.0061,245.1077,2092.2866,1048.3353,254.6402,451.5041
LungImg1.ome.tif,PD1,1652.7046,2219.9641,759.8862,259.7765,1605.7006,405.3054,240.2116,362.8483
LungImg1.ome.tif,CD4,6010.7271,3101.5107,983.0119,237.6128,2362.0095,300.9002,337.2565,435.1425
LungImg1.ome.tif,,5260.9917,1931.8011,1022.3177,273.0718,1429.4807,646.1105,245.6271,319.5
LungImg1.ome.tif,CD4,4122.3467,2841.5203,1123.546,253.8914,2052.6802,421.4525,239.9593,283.448
LungImg1.ome.tif,CD4: FoxP3,6585.9331,2897.979,887.159,245.7699,2055.4937,318.2176,1325.8619,373.1757
LungImg1.ome.tif,,3239.5735,3937.0149,682.1901,254.4595,1100.2727,496.9488,248.4694,297.719
LungImg1.ome.tif,,3736.5151,2196.103,709.2747,247.8197,1197.4978,522.8412,256.1717,282.0858
LungImg1.ome.tif,,6903.4448,1591.8767,953.5859,268.859,465.8282,594.4802,250.9251,369.1806
LungImg1.ome.tif,CD8,6410.6562,1621.3827,1193.656,246.8201,822.7631,1477.0865,243.9203,412.7654
LungImg1.ome.tif,CD4: FoxP3,7103.6943,3110.3098,1351.3644,247.8709,2600.9211,621.4031,2095.3301,386.1564
LungImg1.ome.tif,CD8,5486.3315,2126.7952,1474.097,244.442,1088.415,3025.0161,305.9272,504.8302
LungImg1.ome.tif,CD8,5050.7563,1946.8123,1090.1438,251.5368,579.093,2150.7649,249.1421,311.5123
LungImg1.ome.tif,CD8,3042.2195,2301.8884,1020.187,275.7753,1371.1613,1070.6295,245.6003,325.4648
LungImg1.ome.tif,PD1,5497.2671,2246.7205,1061.9615,246.4117,603.2227,683.0676,338.2534,765.321
LungImg1.ome.tif,CD4,5998.0264,2037.9091,963.6807,242.8958,2207.7649,354.816,330.9734,298.5543
LungImg1.ome.tif,CD4,3348.1992,3312.0034,1392.17,258.7182,2510.22,340.3007,317.9639,333.4691
LungImg1.ome.tif,CD4,5911.6084,1888.249,1183.3225,237.149,1961.3776,360.449,270.7204,391.4531
LungImg1.ome.tif,CD8,4947.4155,2146.6704,1267.1405,256.4588,3049.897,1180.3015,257.3371,372.8296
LungImg1.ome.tif,CD4,4881.5869,2363.7158,1060.5309,247.9701,2032.8934,463.5925,326.3477,291.5421
LungImg1.ome.tif,CD8,4039.8542,2858.0557,806.1115,238.6223,584.696,2813.1096,262.0378,295.8453
LungImg1.ome.tif,CD8,4501.9199,3031.834,1623.5347,244.8723,799.6879,2245.2373,249.708,432.9507
LungImg1.ome.tif,,3284.5862,3781.7932,773.4545,223.6411,421.2398,1272.9044,276.3887,301.1082
LungImg1.ome.tif,CD8,2938.2896,3424.2317,1177.771,247.1737,638.2684,1496.1132,237.6605,371.3421
LungImg1.ome.tif,CD8,4610.3154,2981.0957,1068.1672,238.8746,465.2247,1085.0436,227.3293,326.9983
LungImg1.ome.tif,PD1,1707.0421,2288.4207,922.4272,291.9547,1236.4984,895.0712,229.5275,425.1909
LungImg1.ome.tif,,4185.834,2261.415,857.6324,237.5968,1175.8617,690.166,271.0988,294.6324
LungImg1.ome.tif,CD4,3818.8979,1795.684,886.5568,218.21,1768.2524,291.6262,227.6763,456.7688
